Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),Engine_Type,CC_Displacement,Transmission_Type,Power(BHP),Torque(Nm),Mileage(kmpl),Emission,Price,Transmission(Speed)
Maruti Suzuki,Dzire,2017,blue,sedan,36922.0,2,5,petrol,37,1.2 Litre Petrol Engine,1197,Manual,88.5,113.0,23.26,BS V,594000,5
Hyundai,i10,2013,silver,hatchback,72356.0,1,5,petrol,35,DOHC Kappa2 Engine,1197,Automatic,78.9,111.8,16.95,BS III,362000,4
Hyundai,Verna,2018,white,sedan,55760.0,1,5,diesel,43,Front Wheel Drive,1582,Automatic,121.0,158.0,24.75,BS V,914000,6
Hyundai,Elite i20,2015,red,hatchback,77836.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,544000,5
Volkswagen,Vento,2014,silver,sedan,68269.0,2,5,petrol,55,MPI Petrol Engine,1598,Manual,103.2,153.0,16.09,BS III,513000,5
Renault,Triber,2020,yellow,muv,62659.0,1,7,petrol,40,1.0L Petrol Engine,999,Manual,72.0,96.0,18.2,BS IV,737000,5
Maruti Suzuki,Dzire,2018,brown,sedan,59847.0,1,5,petrol,37,1.2 Litre Petrol Engine,1197,Manual,88.5,113.0,23.26,BS V,664000,5
Hyundai,Verna,2018,white,sedan,83607.0,1,5,diesel,43,Front Wheel Drive,1582,Automatic,126.0,260.0,24.75,BS V,1027000,6
Hyundai,Elite i20,2015,silver,hatchback,33439.0,2,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,575000,5
Honda,WR-V,2018,silver,suv,81799.0,1,5,diesel,40,i-DTEC Diesel engine,1498,Automatic,97.89,200.0,23.7,BS IV,842000,6
Volkswagen,Polo,2019,silver,hatchback,30378.0,1,5,petrol,45,1.0L MPI Petrol,999,Manual,74.96,95.0,18.24,BS V,742000,5
Hyundai,Venue,2021,blue,suv,8873.0,1,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,998,Automatic,118.35,171.6,18.27,BS IV,1044000,6
Hyundai,Verna,2014,blue,sedan,78297.0,2,5,diesel,43,Front Wheel Drive,1582,Automatic,126.0,260.0,17.0,BS III,639000,4
Jeep,Compass,2017,white,suv,50808.0,1,5,diesel,60,2.0-Litre 4-Cyl Multijet,1956,Automatic,170.0,350.0,16.3,BS IV,1649000,6
Maruti Suzuki,Alto 800,2020,grey,hatchback,16384.0,1,5,petrol,35,F8D Petrol Engine,796,Manual,47.3,69.0,22.05,BS IV,392000,5
Tata,Tiago,2020,yellow,hatchback,16123.0,1,5,petrol,35,Revotron Engine,1199,Manual,85.0,113.0,20.0,BS IV,626000,5
Hyundai,Eon,2016,red,hatchback,47487.0,2,5,petrol,32,Kappa Engine,814,Manual,68.05,94.14,20.03,BS IV,320000,5
Hyundai,Grand i10,2019,grey,hatchback,25632.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,81.86,113.75,18.9,BS V,579000,5
Volkswagen,Ameo,2017,grey,sedan,33269.0,1,5,petrol,45,MPI Petrol Engine,1198,Manual,73.75,110.0,17.0,BS V,608000,5
Maruti Suzuki,Swift,2018,red,hatchback,73950.0,1,5,diesel,42,"DDis Diesel,CRDI",1248,Manual,74.0,190.0,25.2,BS V,773000,5
Renault,Lodgy,2015,silver,muv,70520.0,1,8,diesel,50,dCi Diesel with Fixed Geometry Turbo,1461,Manual,108.0,245.0,21.04,BS V,615000,5
Honda,Jazz,2015,white,hatchback,50735.0,2,5,petrol,40,1.2 i-VTEC Petrol,1199,Manual,88.51,110.0,16.6,BS IV,519000,5
Tata,Punch,2021,bronze,suv,6491.0,1,5,petrol,37,1.2 Revotron,1199,Manual,84.0,113.0,18.9,BS IV,869000,5
Mahindra,Scorpio,2019,black,suv,42905.0,1,7,diesel,60,mHawk Diesel Engine,2179,Automatic,138.13,320.0,16.36,BS V,1399000,6
Chevrolet,Beat,2015,red,hatchback,42222.0,1,5,diesel,35,1.0 XSDE,936,Manual,57.0,150.0,25.44,BS IV,356000,5
Ford,EcoSport,2014,silver,suv,97902.0,1,5,diesel,52,1.5L DV5 (Diesel),1498,Manual,89.0,204.0,22.7,BS III,562000,5
Hyundai,Grand i10,2018,grey,hatchback,16760.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,81.86,113.75,18.9,BS V,522000,5
